# t (s)	mx ()	my ()	mz ()
2.160626353530101e-10	0.14761506	0.051964987	0.5488115
2.1715524614269154e-10	0.1542221	0.053824876	0.55119324
2.1806753410357068e-10	0.15970285	0.05669601	0.55316114
2.1916371444785604e-10	0.16621646	0.06157331	0.5555194
2.200773480684519e-10	0.17152211	0.06671234	0.5574905
2.211729797016273e-10	0.17759995	0.0740119	0.5598894
2.2208449873190747e-10	0.18230417	0.08090999	0.5619351
2.2317687731403002e-10	0.18737605	0.08999419	0.5644515
2.240864600643745e-10	0.19102874	0.09803472	0.56661475
2.2517848047057774e-10	0.19464007	0.10792859	0.56930494
2.2608962351656394e-10	0.19692303	0.116155796	0.5716336
2.270018188479726e-10	0.19843845	0.124219924	0.5740446
2.2809856633598327e-10	0.19909112	0.13353452	0.5770533
2.2901509697743928e-10	0.19858114	0.14085682	0.57966477
2.3011911943399478e-10	0.19670108	0.1489185	0.5829251
2.3104254001237028e-10	0.19411495	0.15484114	0.5857418
2.3215383407111186e-10	0.18984008	0.16074719	0.5892229
2.330821650516446e-10	0.18534708	0.1645365	0.5921953
2.3401204265261575e-10	0.18007803	0.16723587	0.5952361
2.351248854283167e-10	0.17291467	0.1690247	0.59894174
2.360476065986587e-10	0.16642591	0.16932929	0.6020391
2.371498422630086e-10	0.15821268	0.16827524	0.6057252
2.3806550405801884e-10	0.15113583	0.16623461	0.6087432
2.391625628388508e-10	0.14250506	0.16247098	0.6122736
2.400755184474552e-10	0.13532966	0.15831512	0.61511964
2.4117000491845294e-10	0.12695442	0.1521706	0.6184055
2.4208185978686613e-10	0.12035517	0.14612491	0.6210309
2.431762533685147e-10	0.1131177	0.13786471	0.6240431
2.440887954510074e-10	0.10780195	0.13030057	0.6264464
2.450023839984524e-10	0.10324004	0.12229259	0.62876046
2.461009518129006e-10	0.0988815	0.11232315	0.6314272
2.4701803686706165e-10	0.09627277	0.1039027	0.6335709
2.481207876054284e-10	0.09444394	0.093914375	0.63606346
2.490415276965231e-10	0.0940238	0.08592288	0.638087
2.5014808509132116e-10	0.09485304	0.07703558	0.6404662
2.5107218034563844e-10	0.0966832	0.0703914	0.6424192
2.5218335283320086e-10	0.100281276	0.06348421	0.6447315
2.5311192025639817e-10	0.10442974	0.05872819	0.6466367
2.540430199591911e-10	0.10955217	0.055026814	0.64852947
2.551628590461515e-10	0.11683305	0.052177086	0.6507875
2.560976586308158e-10	0.123715155	0.051232316	0.6526618
2.57031994112701e-10	0.13119312	0.051589414	0.6545367
2.581519251908115e-10	0.14073956	0.05364258	0.65679884
2.590838613384416e-10	0.14899835	0.056602187	0.6587159
2.600151558431398e-10	0.15739776	0.060592126	0.6606868
2.611326245315224e-10	0.16746795	0.06658413	0.66314954
2.620593259468902e-10	0.17559993	0.072418	0.66528976
2.6316379081995475e-10	0.18472561	0.08023668	0.66797245
2.640785429616122e-10	0.1916021	0.087268084	0.6703114
2.651697489419806e-10	0.19879773	0.09605544	0.67324406
2.660744889977275e-10	0.20381297	0.10345744	0.6757937
2.671556986105458e-10	0.20854264	0.11220399	0.678985
2.6805419353963795e-10	0.21133487	0.11923585	0.68175066
2.69130600536216e-10	0.21322483	0.12720506	0.6851823
2.7002692433130647e-10	0.21353412	0.13334104	0.6881201
2.711033634202001e-10	0.21234651	0.13998017	0.6917126
2.7200165380947955e-10	0.2100471	0.14482205	0.6947401
2.7308177908112845e-10	0.20573862	0.14968386	0.6983845
2.741647355800291e-10	0.19980893	0.1533757	0.7020076
2.7506924048089793e-10	0.19371265	0.15548818	0.7049879
2.7615669606844073e-10	0.18514122	0.1568471	0.70849186
2.7706415288267367e-10	0.17707928	0.15700522	0.7113315
2.7815448213523514e-10	0.16650121	0.1560369	0.71462476
2.7906424040878344e-10	0.15712298	0.15428998	0.7172713
2.801558218066344e-10	0.14548437	0.15114853	0.7203219
2.810629775986537e-10	0.13571648	0.14777899	0.7227407
2.82147383902304e-10	0.12420094	0.14300601	0.72548485
2.8304801477751837e-10	0.114983395	0.13852704	0.7276482
2.8412607432565535e-10	0.10467732	0.13264832	0.7301186
2.850229165408454e-10	0.09697951	0.12739761	0.73209083
2.8609815152703663e-10	0.089115	0.12077742	0.7343741
2.8717378541769267e-10	0.083001986	0.11395396	0.73659146
2.8807133221147926e-10	0.07938759	0.10823323	0.73841166
2.891488621940673e-10	0.07694721	0.10146121	0.74058783
2.9004736360376937e-10	0.076542296	0.095974706	0.7424149
2.911266854402019e-10	0.07800803	0.08967333	0.74464256
2.9202636714850115e-10	0.08079277	0.084748365	0.7465359
2.9310680219358093e-10	0.08586368	0.07935202	0.7488602
2.9400828047126743e-10	0.091382675	0.07538225	0.750845
2.950918530126467e-10	0.09933887	0.07137482	0.7532924
2.9617754028041563e-10	0.10846818	0.06832366	0.7558146
2.970837390666884e-10	0.11672502	0.066606484	0.7579705
2.9817260575845156e-10	0.12709185	0.06561918	0.7606166
2.99080493356524e-10	0.13586247	0.065719865	0.7628671
3.001692040864798e-10	0.14623976	0.06695633	0.76562047
3.0107516659461695e-10	0.15453793	0.0689214	0.76795936
3.021592427237341e-10	0.16379339	0.07239205	0.77081275
3.0306014314022704e-10	0.17073569	0.07616346	0.77322394
3.0413883823186835e-10	0.17796455	0.08162938	0.776154
3.050365562155473e-10	0.1829698	0.08686067	0.7786273
3.0611344924417313e-10	0.18764889	0.09381507	0.78162795
3.07011383746406e-10	0.19037028	0.10006644	0.78414685
3.0809016168674737e-10	0.19214393	0.107958615	0.78717935
3.0917024081188776e-10	0.19223288	0.11608722	0.79021007
3.100721337936294e-10	0.19099958	0.122905135	0.7927309
3.111575368708926e-10	0.1879513	0.1309868	0.79574805
3.1206507203608285e-10	0.18413232	0.13752453	0.7982512
3.1315813364131593e-10	0.17809655	0.1449891	0.8012345
3.140720116097157e-10	0.17195639	0.15076873	0.80369484
3.1517170501537595e-10	0.16341715	0.1570141	0.8066061
3.1608976510523193e-10	0.15547322	0.1615301	0.8089888
3.170076351216525e-10	0.14692841	0.16534397	0.8113237
3.181068487770743e-10	0.13608105	0.16894104	0.8140564
3.1902091639656914e-10	0.12669545	0.17110623	0.81627244
3.201158792876463e-10	0.11520857	0.172698	0.8188516
3.2102750944004443e-10	0.10560304	0.17319156	0.8209295
3.2212159868532413e-10	0.09422455	0.17281504	0.8233306
3.230343315006452e-10	0.08499435	0.17173587	0.8252502
3.2413168561261204e-10	0.074360594	0.16959298	0.827455
